Section	Article	Mean	StdDev
Actions taken	AIDA.1	0.00	0.00
Actions taken	AIDA.10	3.12	1.27
Actions taken	AIDA.11	2.75	1.09
Actions taken	AIDA.12	3.88	0.33
Actions taken	AIDA.13	0.50	1.32
Actions taken	AIDA.14	3.88	0.33
Actions taken	AIDA.15	2.25	1.30
Actions taken	AIDA.16	3.62	0.48
Actions taken	AIDA.17	4.88	0.33
Actions taken	AIDA.18	1.88	1.45
Actions taken	AIDA.19	0.00	0.00
Actions taken	AIDA.2	0.50	1.32
Actions taken	AIDA.20	0.00	0.00
Actions taken	AIDA.21	0.00	0.00
Actions taken	AIDA.22	0.00	0.00
Actions taken	AIDA.23	0.75	1.30
Actions taken	AIDA.24	0.00	0.00
Actions taken	AIDA.25	0.00	0.00
Actions taken	AIDA.26	0.00	0.00
Actions taken	AIDA.27	0.75	1.30
Actions taken	AIDA.28	3.38	0.48
Actions taken	AIDA.29	0.00	0.00
Actions taken	AIDA.3	0.00	0.00
Actions taken	AIDA.30	4.38	1.65
Actions taken	AIDA.31	0.00	0.00
Actions taken	AIDA.32	0.00	0.00
Actions taken	AIDA.33	0.00	0.00
Actions taken	AIDA.34	0.00	0.00
Actions taken	AIDA.35	0.00	0.00
Actions taken	AIDA.36	4.00	0.00
Actions taken	AIDA.37	2.00	1.58
Actions taken	AIDA.38	2.88	0.60
Actions taken	AIDA.39	4.88	0.33
Actions taken	AIDA.4	2.50	2.00
Actions taken	AIDA.40	0.00	0.00
Actions taken	AIDA.5	4.38	1.65
Actions taken	AIDA.6	0.75	1.30
Actions taken	AIDA.7	2.50	1.50
Actions taken	AIDA.8	5.00	0.00
Actions taken	AIDA.9	4.88	0.33
Actions taken	CCPA.1798.100	4.75	0.43
Actions taken	CCPA.1798.105	3.25	1.48
Actions taken	CCPA.1798.106	3.00	1.41
Actions taken	CCPA.1798.110	3.75	0.66
Actions taken	CCPA.1798.115	2.75	1.71
Actions taken	CCPA.1798.120	3.50	1.41
Actions taken	CCPA.1798.121	4.50	0.71
Actions taken	CCPA.1798.125	3.38	1.41
Actions taken	CCPA.1798.126	0.29	0.70
Actions taken	CCPA.1798.130	2.25	1.79
Actions taken	CCPA.1798.135	0.75	1.30
Actions taken	CCPA.1798.140	1.00	1.73
Actions taken	CCPA.1798.145	4.25	0.83
Actions taken	CCPA.1798.146	0.00	0.00
Actions taken	CCPA.1798.148	0.67	1.49
Actions taken	CCPA.1798.150	5.00	0.00
Actions taken	CCPA.1798.155	0.67	1.49
Actions taken	CCPA.1798.160	0.00	0.00
Actions taken	CCPA.1798.175	3.33	1.49
Actions taken	CCPA.1798.176	0.00	0.00
Actions taken	CCPA.1798.177	2.00	2.00
Actions taken	CCPA.1798.178	0.00	0.00
Actions taken	CCPA.1798.179	0.00	0.00
Actions taken	CCPA.1798.180	0.00	0.00
Actions taken	CCPA.1798.185	5.00	0.00
Actions taken	CCPA.1798.190	0.75	1.30
Actions taken	CCPA.1798.192	0.00	0.00
Actions taken	CCPA.1798.194	0.00	0.00
Actions taken	CCPA.1798.196	0.00	0.00
Actions taken	CCPA.1798.198	0.00	0.00
Actions taken	CCPA.1798.199	0.00	0.00
Actions taken	CCPA.1798.199.10	0.00	0.00
Actions taken	CCPA.1798.199.100	2.86	1.36
Actions taken	CCPA.1798.199.15	0.00	0.00
Actions taken	CCPA.1798.199.20	0.00	0.00
Actions taken	CCPA.1798.199.25	0.00	0.00
Actions taken	CCPA.1798.199.30	0.00	0.00
Actions taken	CCPA.1798.199.35	0.00	0.00
Actions taken	CCPA.1798.199.40	4.86	0.35
Actions taken	CCPA.1798.199.45	1.50	1.94
Actions taken	CCPA.1798.199.50	0.00	0.00
Actions taken	CCPA.1798.199.55	0.38	0.99
Actions taken	CCPA.1798.199.60	0.00	0.00
Actions taken	CCPA.1798.199.65	0.00	0.00
Actions taken	CCPA.1798.199.70	0.00	0.00
Actions taken	CCPA.1798.199.75	0.00	0.00
Actions taken	CCPA.1798.199.80	0.00	0.00
Actions taken	CCPA.1798.199.85	0.00	0.00
Actions taken	CCPA.1798.199.90	2.12	2.15
Actions taken	CCPA.1798.199.95	0.00	0.00
Actions taken	EU.1	2.00	1.58
Actions taken	EU.10	2.12	1.69
Actions taken	EU.100	0.00	0.00
Actions taken	EU.101	0.00	0.00
Actions taken	EU.102	0.00	0.00
Actions taken	EU.103	0.00	0.00
Actions taken	EU.104	0.00	0.00
Actions taken	EU.105	0.00	0.00
Actions taken	EU.106	0.00	0.00
Actions taken	EU.107	0.57	1.40
Actions taken	EU.108	0.00	0.00
Actions taken	EU.109	0.57	1.40
Actions taken	EU.11	3.25	1.30
Actions taken	EU.110	0.00	0.00
Actions taken	EU.111	3.00	1.31
Actions taken	EU.112	4.43	0.49
Actions taken	EU.113	0.00	0.00
Actions taken	EU.12	2.75	1.79
Actions taken	EU.13	3.38	1.32
Actions taken	EU.14	4.38	0.48
Actions taken	EU.15	4.14	0.35
Actions taken	EU.16	4.88	0.33
Actions taken	EU.17	4.00	0.00
Actions taken	EU.18	1.88	1.45
Actions taken	EU.19	1.75	1.48
Actions taken	EU.2	0.50	0.71
Actions taken	EU.20	4.38	0.48
Actions taken	EU.21	0.38	0.99
Actions taken	EU.22	0.00	0.00
Actions taken	EU.23	1.62	1.65
Actions taken	EU.24	0.00	0.00
Actions taken	EU.25	2.25	1.39
Actions taken	EU.26	4.50	0.50
Actions taken	EU.27	2.75	1.64
Actions taken	EU.28	0.00	0.00
Actions taken	EU.29	0.00	0.00
Actions taken	EU.3	0.12	0.33
Actions taken	EU.30	0.00	0.00
Actions taken	EU.31	2.50	1.94
Actions taken	EU.32	0.00	0.00
Actions taken	EU.33	0.00	0.00
Actions taken	EU.34	2.38	1.41
Actions taken	EU.35	0.00	0.00
Actions taken	EU.36	0.00	0.00
Actions taken	EU.37	0.00	0.00
Actions taken	EU.38	0.00	0.00
Actions taken	EU.39	0.00	0.00
Actions taken	EU.4	2.25	1.30
Actions taken	EU.40	4.00	0.00
Actions taken	EU.41	3.86	0.35
Actions taken	EU.42	2.00	2.12
Actions taken	EU.43	4.25	0.66
Actions taken	EU.44	0.00	0.00
Actions taken	EU.45	0.00	0.00
Actions taken	EU.46	1.12	1.45
Actions taken	EU.47	1.50	1.58
Actions taken	EU.48	0.00	0.00
Actions taken	EU.49	0.00	0.00
Actions taken	EU.5	4.25	0.43
Actions taken	EU.50	1.25	1.64
Actions taken	EU.51	2.71	1.75
Actions taken	EU.52	2.00	1.31
Actions taken	EU.53	4.57	0.49
Actions taken	EU.54	0.00	0.00
Actions taken	EU.55	4.86	0.35
Actions taken	EU.56	0.86	1.46
Actions taken	EU.57	2.62	1.58
Actions taken	EU.58	1.50	1.50
Actions taken	EU.59	0.25	0.66
Actions taken	EU.6	4.25	1.64
Actions taken	EU.60	3.88	0.33
Actions taken	EU.61	0.00	0.00
Actions taken	EU.62	0.00	0.00
Actions taken	EU.63	0.00	0.00
Actions taken	EU.64	0.00	0.00
Actions taken	EU.65	0.00	0.00
Actions taken	EU.66	0.00	0.00
Actions taken	EU.67	0.00	0.00
Actions taken	EU.68	1.88	1.90
Actions taken	EU.69	0.00	0.00
Actions taken	EU.7	0.00	0.00
Actions taken	EU.70	0.00	0.00
Actions taken	EU.71	0.00	0.00
Actions taken	EU.72	4.62	0.48
Actions taken	EU.73	4.75	0.43
Actions taken	EU.74	2.88	1.17
Actions taken	EU.75	0.00	0.00
Actions taken	EU.76	1.12	1.54
Actions taken	EU.77	0.75	1.30
Actions taken	EU.78	0.75	1.30
Actions taken	EU.79	4.62	0.48
Actions taken	EU.8	4.00	1.58
Actions taken	EU.80	2.57	1.68
Actions taken	EU.81	0.00	0.00
Actions taken	EU.82	4.29	0.70
Actions taken	EU.83	0.43	1.05
Actions taken	EU.84	0.00	0.00
Actions taken	EU.85	2.00	1.32
Actions taken	EU.86	2.75	1.71
Actions taken	EU.87	0.00	0.00
Actions taken	EU.88	0.00	0.00
Actions taken	EU.89	0.62	1.11
Actions taken	EU.9	5.00	0.00
Actions taken	EU.90	0.50	1.32
Actions taken	EU.91	0.00	0.00
Actions taken	EU.92	2.12	1.69
Actions taken	EU.93	2.25	1.79
Actions taken	EU.94	0.00	0.00
Actions taken	EU.95	1.25	1.79
Actions taken	EU.96	0.88	1.54
Actions taken	EU.97	0.00	0.00
Actions taken	EU.98	0.00	0.00
Actions taken	EU.99	2.00	2.00
Bias Mitigation Measures	AIDA.1	0.00	0.00
Bias Mitigation Measures	AIDA.10	3.00	0.00
Bias Mitigation Measures	AIDA.11	3.38	0.48
Bias Mitigation Measures	AIDA.12	3.00	0.00
Bias Mitigation Measures	AIDA.13	3.25	1.09
Bias Mitigation Measures	AIDA.14	4.75	0.43
Bias Mitigation Measures	AIDA.15	3.38	1.32
Bias Mitigation Measures	AIDA.16	2.50	1.50
Bias Mitigation Measures	AIDA.17	4.00	0.71
Bias Mitigation Measures	AIDA.18	2.88	1.27
Bias Mitigation Measures	AIDA.19	1.00	1.32
Bias Mitigation Measures	AIDA.2	1.00	1.73
Bias Mitigation Measures	AIDA.20	0.00	0.00
Bias Mitigation Measures	AIDA.21	0.00	0.00
Bias Mitigation Measures	AIDA.22	1.33	0.94
Bias Mitigation Measures	AIDA.23	1.00	1.32
Bias Mitigation Measures	AIDA.24	0.57	0.90
Bias Mitigation Measures	AIDA.25	0.71	1.16
Bias Mitigation Measures	AIDA.26	0.75	0.97
Bias Mitigation Measures	AIDA.27	1.38	1.80
Bias Mitigation Measures	AIDA.28	1.12	1.96
Bias Mitigation Measures	AIDA.29	2.50	2.50
Bias Mitigation Measures	AIDA.3	0.00	0.00
Bias Mitigation Measures	AIDA.30	3.75	2.17
Bias Mitigation Measures	AIDA.31	0.00	0.00
Bias Mitigation Measures	AIDA.32	0.00	0.00
Bias Mitigation Measures	AIDA.33	0.00	0.00
Bias Mitigation Measures	AIDA.34	0.00	0.00
Bias Mitigation Measures	AIDA.35	0.00	0.00
Bias Mitigation Measures	AIDA.36	1.25	2.17
Bias Mitigation Measures	AIDA.37	0.00	0.00
Bias Mitigation Measures	AIDA.38	2.12	0.93
Bias Mitigation Measures	AIDA.39	4.38	0.48
Bias Mitigation Measures	AIDA.4	2.25	1.85
Bias Mitigation Measures	AIDA.40	0.50	1.32
Bias Mitigation Measures	AIDA.5	5.00	0.00
Bias Mitigation Measures	AIDA.6	2.12	0.60
Bias Mitigation Measures	AIDA.7	3.50	0.50
Bias Mitigation Measures	AIDA.8	5.00	0.00
Bias Mitigation Measures	AIDA.9	4.12	0.33
Bias Mitigation Measures	CCPA.1798.100	0.88	1.17
Bias Mitigation Measures	CCPA.1798.105	0.38	0.70
Bias Mitigation Measures	CCPA.1798.106	0.38	0.70
Bias Mitigation Measures	CCPA.1798.110	0.62	1.11
Bias Mitigation Measures	CCPA.1798.115	0.38	0.70
Bias Mitigation Measures	CCPA.1798.120	0.38	0.70
Bias Mitigation Measures	CCPA.1798.121	1.00	1.32
Bias Mitigation Measures	CCPA.1798.125	4.67	0.47
Bias Mitigation Measures	CCPA.1798.130	1.83	1.07
Bias Mitigation Measures	CCPA.1798.135	0.83	0.69
Bias Mitigation Measures	CCPA.1798.140	2.50	0.50
Bias Mitigation Measures	CCPA.1798.145	1.71	1.28
Bias Mitigation Measures	CCPA.1798.146	0.62	1.11
Bias Mitigation Measures	CCPA.1798.147	0.00	0.00
Bias Mitigation Measures	CCPA.1798.148	1.38	1.11
Bias Mitigation Measures	CCPA.1798.150	1.25	1.30
Bias Mitigation Measures	CCPA.1798.155	0.12	0.33
Bias Mitigation Measures	CCPA.1798.160	0.00	0.00
Bias Mitigation Measures	CCPA.1798.175	2.57	0.73
Bias Mitigation Measures	CCPA.1798.180	0.14	0.35
Bias Mitigation Measures	CCPA.1798.199.100	0.00	0.00
Bias Mitigation Measures	CCPA.1798.199.20	0.00	0.00
Bias Mitigation Measures	CCPA.1798.199.25	0.00	0.00
Bias Mitigation Measures	CCPA.1798.199.30	0.00	0.00
Bias Mitigation Measures	CCPA.1798.199.35	0.00	0.00
Bias Mitigation Measures	CCPA.1798.199.40	2.86	0.35
Bias Mitigation Measures	CCPA.1798.199.45	0.00	0.00
Bias Mitigation Measures	CCPA.1798.199.50	0.00	0.00
Bias Mitigation Measures	CCPA.1798.199.55	0.00	0.00
Bias Mitigation Measures	CCPA.1798.199.60	0.00	0.00
Bias Mitigation Measures	CCPA.1798.199.65	0.29	0.70
Bias Mitigation Measures	CCPA.1798.199.70	0.00	0.00
Bias Mitigation Measures	CCPA.1798.199.75	0.00	0.00
Bias Mitigation Measures	CCPA.1798.199.80	0.00	0.00
Bias Mitigation Measures	CCPA.1798.199.85	0.00	0.00
Bias Mitigation Measures	CCPA.1798.199.90	0.00	0.00
Bias Mitigation Measures	CCPA.1798.199.95	0.00	0.00
Bias Mitigation Measures	EU.1	4.43	0.73
Bias Mitigation Measures	EU.10	5.00	0.00
Bias Mitigation Measures	EU.100	0.29	0.70
Bias Mitigation Measures	EU.101	0.57	1.40
Bias Mitigation Measures	EU.102	0.00	0.00
Bias Mitigation Measures	EU.103	0.00	0.00
Bias Mitigation Measures	EU.104	0.00	0.00
Bias Mitigation Measures	EU.105	0.00	0.00
Bias Mitigation Measures	EU.106	0.00	0.00
Bias Mitigation Measures	EU.107	0.00	0.00
Bias Mitigation Measures	EU.108	0.00	0.00
Bias Mitigation Measures	EU.109	0.60	1.20
Bias Mitigation Measures	EU.11	3.86	0.35
Bias Mitigation Measures	EU.110	0.00	0.00
Bias Mitigation Measures	EU.111	2.20	1.83
Bias Mitigation Measures	EU.112	1.40	1.74
Bias Mitigation Measures	EU.113	0.20	0.40
Bias Mitigation Measures	EU.12	2.57	1.05
Bias Mitigation Measures	EU.13	3.43	1.40
Bias Mitigation Measures	EU.14	3.14	1.36
Bias Mitigation Measures	EU.15	4.43	0.49
Bias Mitigation Measures	EU.16	4.25	0.43
Bias Mitigation Measures	EU.17	4.00	0.50
Bias Mitigation Measures	EU.18	3.50	0.50
Bias Mitigation Measures	EU.19	3.00	0.50
Bias Mitigation Measures	EU.2	2.00	1.07
Bias Mitigation Measures	EU.20	3.25	0.43
Bias Mitigation Measures	EU.21	2.14	0.83
Bias Mitigation Measures	EU.22	0.29	0.70
Bias Mitigation Measures	EU.23	2.29	2.05
Bias Mitigation Measures	EU.24	0.67	1.49
Bias Mitigation Measures	EU.25	3.20	0.75
Bias Mitigation Measures	EU.26	4.43	0.49
Bias Mitigation Measures	EU.27	4.86	0.35
Bias Mitigation Measures	EU.28	0.57	1.40
Bias Mitigation Measures	EU.29	1.00	1.60
Bias Mitigation Measures	EU.3	3.00	1.41
Bias Mitigation Measures	EU.30	0.00	0.00
Bias Mitigation Measures	EU.31	2.50	1.80
Bias Mitigation Measures	EU.32	0.00	0.00
Bias Mitigation Measures	EU.33	0.00	0.00
Bias Mitigation Measures	EU.34	2.60	1.36
Bias Mitigation Measures	EU.35	0.00	0.00
Bias Mitigation Measures	EU.36	0.00	0.00
Bias Mitigation Measures	EU.37	0.00	0.00
Bias Mitigation Measures	EU.38	0.00	0.00
Bias Mitigation Measures	EU.39	0.00	0.00
Bias Mitigation Measures	EU.4	2.00	1.07
Bias Mitigation Measures	EU.40	4.29	0.70
Bias Mitigation Measures	EU.41	3.14	2.10
Bias Mitigation Measures	EU.42	4.29	0.45
Bias Mitigation Measures	EU.43	3.14	2.10
Bias Mitigation Measures	EU.44	0.00	0.00
Bias Mitigation Measures	EU.45	0.00	0.00
Bias Mitigation Measures	EU.46	1.00	1.60
Bias Mitigation Measures	EU.47	2.14	1.96
Bias Mitigation Measures	EU.48	0.00	0.00
Bias Mitigation Measures	EU.49	2.71	1.16
Bias Mitigation Measures	EU.5	4.57	0.49
Bias Mitigation Measures	EU.50	2.71	1.75
Bias Mitigation Measures	EU.51	0.57	1.40
Bias Mitigation Measures	EU.52	0.00	0.00
Bias Mitigation Measures	EU.53	3.83	1.86
Bias Mitigation Measures	EU.54	0.00	0.00
Bias Mitigation Measures	EU.55	1.50	2.14
Bias Mitigation Measures	EU.56	1.14	1.81
Bias Mitigation Measures	EU.57	1.71	1.48
Bias Mitigation Measures	EU.58	0.57	1.40
Bias Mitigation Measures	EU.59	2.43	1.05
Bias Mitigation Measures	EU.6	4.71	0.45
Bias Mitigation Measures	EU.60	1.00	1.60
Bias Mitigation Measures	EU.61	0.29	0.70
Bias Mitigation Measures	EU.62	1.14	1.36
Bias Mitigation Measures	EU.63	0.00	0.00
Bias Mitigation Measures	EU.64	0.00	0.00
Bias Mitigation Measures	EU.65	0.00	0.00
Bias Mitigation Measures	EU.66	0.00	0.00
Bias Mitigation Measures	EU.67	0.00	0.00
Bias Mitigation Measures	EU.68	0.00	0.00
Bias Mitigation Measures	EU.69	0.00	0.00
Bias Mitigation Measures	EU.7	0.00	0.00
Bias Mitigation Measures	EU.70	0.00	0.00
Bias Mitigation Measures	EU.71	2.71	0.70
Bias Mitigation Measures	EU.72	3.00	1.41
Bias Mitigation Measures	EU.73	1.43	1.29
Bias Mitigation Measures	EU.74	3.17	0.37
Bias Mitigation Measures	EU.75	0.00	0.00
Bias Mitigation Measures	EU.76	0.57	0.90
Bias Mitigation Measures	EU.77	2.43	1.84
Bias Mitigation Measures	EU.78	1.29	1.48
Bias Mitigation Measures	EU.79	4.57	0.49
Bias Mitigation Measures	EU.8	4.14	0.35
Bias Mitigation Measures	EU.80	2.43	2.13
Bias Mitigation Measures	EU.81	1.20	1.47
Bias Mitigation Measures	EU.82	3.80	0.40
Bias Mitigation Measures	EU.83	1.00	1.26
Bias Mitigation Measures	EU.84	2.17	2.19
Bias Mitigation Measures	EU.85	1.50	2.14
Bias Mitigation Measures	EU.86	2.12	2.15
Bias Mitigation Measures	EU.87	0.88	1.54
Bias Mitigation Measures	EU.88	2.12	2.15
Bias Mitigation Measures	EU.89	2.25	2.28
Bias Mitigation Measures	EU.9	4.57	0.49
Bias Mitigation Measures	EU.90	1.00	1.73
Bias Mitigation Measures	EU.91	2.43	2.19
Bias Mitigation Measures	EU.92	2.83	2.03
Bias Mitigation Measures	EU.93	3.60	1.85
Bias Mitigation Measures	EU.94	0.60	1.20
Bias Mitigation Measures	EU.95	2.60	1.62
Bias Mitigation Measures	EU.96	3.71	1.03
Bias Mitigation Measures	EU.97	0.00	0.00
Bias Mitigation Measures	EU.98	0.00	0.00
Bias Mitigation Measures	EU.99	2.71	1.75
Collection Method	AIDA.1	0.00	0.00
Collection Method	AIDA.10	3.38	0.48
Collection Method	AIDA.11	2.00	0.50
Collection Method	AIDA.12	1.88	0.33
Collection Method	AIDA.13	3.12	0.78
Collection Method	AIDA.14	3.50	0.71
Collection Method	AIDA.15	2.38	0.99
Collection Method	AIDA.16	1.12	1.17
Collection Method	AIDA.17	2.12	1.45
Collection Method	AIDA.18	1.88	1.17
Collection Method	AIDA.19	0.38	0.70
Collection Method	AIDA.2	1.62	1.65
Collection Method	AIDA.20	0.00	0.00
Collection Method	AIDA.21	0.00	0.00
Collection Method	AIDA.22	2.50	1.12
Collection Method	AIDA.23	3.62	1.41
Collection Method	AIDA.24	0.75	1.30
Collection Method	AIDA.25	0.75	1.30
Collection Method	AIDA.26	1.00	1.32
Collection Method	AIDA.27	1.12	1.54
Collection Method	AIDA.28	1.00	1.73
Collection Method	AIDA.29	2.00	2.00
Collection Method	AIDA.3	0.00	0.00
Collection Method	AIDA.30	3.00	1.73
Collection Method	AIDA.31	0.00	0.00
Collection Method	AIDA.32	0.00	0.00
Collection Method	AIDA.33	0.00	0.00
Collection Method	AIDA.34	0.00	0.00
Collection Method	AIDA.35	0.00	0.00
Collection Method	AIDA.36	0.88	1.54
Collection Method	AIDA.37	0.00	0.00
Collection Method	AIDA.38	5.00	0.00
Collection Method	AIDA.39	3.38	0.48
Collection Method	AIDA.4	1.62	1.73
Collection Method	AIDA.40	0.50	1.32
Collection Method	AIDA.5	4.25	0.43
Collection Method	AIDA.6	4.12	0.33
Collection Method	AIDA.7	2.38	0.70
Collection Method	AIDA.8	2.88	0.33
Collection Method	AIDA.9	2.00	0.50
Collection Method	CCPA.1798.100	4.75	0.43
Collection Method	CCPA.1798.105	2.88	1.27
Collection Method	CCPA.1798.106	2.88	1.27
Collection Method	CCPA.1798.110	4.25	0.66
Collection Method	CCPA.1798.115	3.62	0.70
Collection Method	CCPA.1798.120	2.88	1.27
Collection Method	CCPA.1798.121	3.75	0.97
Collection Method	CCPA.1798.125	1.86	1.36
Collection Method	CCPA.1798.126	0.00	0.00
Collection Method	CCPA.1798.127	0.00	0.00
Collection Method	CCPA.1798.128	0.00	0.00
Collection Method	CCPA.1798.129	0.00	0.00
Collection Method	CCPA.1798.130	4.14	0.35
Collection Method	CCPA.1798.131	0.00	0.00
Collection Method	CCPA.1798.135	3.17	1.07
Collection Method	CCPA.1798.140	4.50	0.50
Collection Method	CCPA.1798.145	3.57	1.05
Collection Method	CCPA.1798.146	3.25	1.98
Collection Method	CCPA.1798.147	0.00	0.00
Collection Method	CCPA.1798.148	3.62	1.49
Collection Method	CCPA.1798.150	4.12	0.60
Collection Method	CCPA.1798.155	0.25	0.66
Collection Method	CCPA.1798.160	0.00	0.00
Collection Method	CCPA.1798.175	3.25	0.43
Collection Method	CCPA.1798.176	0.00	0.00
Collection Method	CCPA.1798.177	0.00	0.00
Collection Method	CCPA.1798.178	0.00	0.00
Collection Method	CCPA.1798.179	0.00	0.00
Collection Method	CCPA.1798.180	0.38	0.70
Collection Method	CCPA.1798.181	0.00	0.00
Collection Method	CCPA.1798.182	0.00	0.00
Collection Method	CCPA.1798.185	4.80	0.40
Collection Method	CCPA.1798.186	0.00	0.00
Collection Method	CCPA.1798.187	0.00	0.00
Collection Method	CCPA.1798.188	0.00	0.00
Collection Method	CCPA.1798.189	0.00	0.00
Collection Method	CCPA.1798.190	1.50	1.50
Collection Method	CCPA.1798.192	2.00	0.00
Collection Method	CCPA.1798.194	2.00	0.00
Collection Method	CCPA.1798.196	3.00	0.00
Collection Method	CCPA.1798.198	0.00	0.00
Collection Method	CCPA.1798.199	0.00	0.00
Collection Method	CCPA.1798.199.10	0.00	0.00
Collection Method	CCPA.1798.199.100	1.43	1.29
Collection Method	CCPA.1798.199.15	0.00	0.00
Collection Method	CCPA.1798.199.20	0.00	0.00
Collection Method	CCPA.1798.199.25	0.00	0.00
Collection Method	CCPA.1798.199.30	0.00	0.00
Collection Method	CCPA.1798.199.35	0.00	0.00
Collection Method	CCPA.1798.199.40	4.00	0.00
Collection Method	CCPA.1798.199.45	0.38	0.99
Collection Method	CCPA.1798.199.50	0.00	0.00
Collection Method	CCPA.1798.199.55	0.00	0.00
Collection Method	CCPA.1798.199.60	0.00	0.00
Collection Method	CCPA.1798.199.65	0.88	1.54
Collection Method	CCPA.1798.199.70	0.00	0.00
Collection Method	CCPA.1798.199.75	0.00	0.00
Collection Method	CCPA.1798.199.80	0.00	0.00
Collection Method	CCPA.1798.199.85	0.00	0.00
Collection Method	CCPA.1798.199.90	2.00	1.77
Collection Method	CCPA.1798.199.95	0.00	0.00
Collection Method	EU.1	2.50	1.12
Collection Method	EU.10	5.00	0.00
Collection Method	EU.100	0.25	0.66
Collection Method	EU.101	0.38	0.99
Collection Method	EU.102	0.00	0.00
Collection Method	EU.103	0.00	0.00
Collection Method	EU.104	0.00	0.00
Collection Method	EU.105	0.00	0.00
Collection Method	EU.106	0.00	0.00
Collection Method	EU.107	0.00	0.00
Collection Method	EU.108	0.00	0.00
Collection Method	EU.109	0.29	0.70
Collection Method	EU.11	3.88	0.33
Collection Method	EU.110	0.00	0.00
Collection Method	EU.111	2.29	1.48
Collection Method	EU.112	1.29	1.58
Collection Method	EU.113	0.14	0.35
Collection Method	EU.12	2.00	0.87
Collection Method	EU.13	2.88	1.17
Collection Method	EU.14	2.25	1.09
Collection Method	EU.15	3.12	0.60
Collection Method	EU.16	3.62	0.48
Collection Method	EU.17	3.75	0.43
Collection Method	EU.18	3.38	0.48
Collection Method	EU.19	2.88	0.33
Collection Method	EU.2	2.12	0.60
Collection Method	EU.20	2.25	0.66
Collection Method	EU.21	2.00	0.71
Collection Method	EU.22	0.25	0.66
Collection Method	EU.23	2.00	1.58
Collection Method	EU.24	0.38	0.99
Collection Method	EU.25	2.50	0.71
Collection Method	EU.26	3.50	0.50
Collection Method	EU.27	3.75	0.66
Collection Method	EU.28	0.38	0.99
Collection Method	EU.29	0.75	1.39
Collection Method	EU.3	2.50	1.12
Collection Method	EU.30	0.00	0.00
Collection Method	EU.31	1.38	1.41
Collection Method	EU.32	0.00	0.00
Collection Method	EU.33	0.00	0.00
Collection Method	EU.34	1.25	1.30
Collection Method	EU.35	0.00	0.00
Collection Method	EU.36	0.00	0.00
Collection Method	EU.37	0.00	0.00
Collection Method	EU.38	0.00	0.00
Collection Method	EU.39	0.00	0.00
Collection Method	EU.4	0.75	0.83
Collection Method	EU.40	3.29	0.70
Collection Method	EU.41	2.43	1.68
Collection Method	EU.42	3.50	0.71
Collection Method	EU.43	2.50	1.58
Collection Method	EU.44	0.00	0.00
Collection Method	EU.45	0.00	0.00
Collection Method	EU.46	0.75	1.30
Collection Method	EU.47	1.75	1.79
Collection Method	EU.48	0.00	0.00
Collection Method	EU.49	2.50	1.00
Collection Method	EU.5	3.75	0.66
Collection Method	EU.50	2.00	2.00
Collection Method	EU.51	0.38	0.99
Collection Method	EU.52	0.00	0.00
Collection Method	EU.53	2.50	1.94
Collection Method	EU.54	0.00	0.00
Collection Method	EU.55	0.43	1.05
Collection Method	EU.56	0.86	1.36
Collection Method	EU.57	1.00	1.32
Collection Method	EU.58	0.38	0.99
Collection Method	EU.59	4.12	0.60
Collection Method	EU.6	3.62	0.70
Collection Method	EU.60	0.88	1.54
Collection Method	EU.61	1.50	1.94
Collection Method	EU.62	0.00	0.00
Collection Method	EU.63	0.00	0.00
Collection Method	EU.64	0.00	0.00
Collection Method	EU.65	0.00	0.00
Collection Method	EU.66	0.00	0.00
Collection Method	EU.67	0.00	0.00
Collection Method	EU.68	0.00	0.00
Collection Method	EU.69	0.00	0.00
Collection Method	EU.7	0.00	0.00
Collection Method	EU.70	0.00	0.00
Collection Method	EU.71	2.75	0.43
Collection Method	EU.72	2.88	1.27
Collection Method	EU.73	0.75	1.09
Collection Method	EU.74	2.12	0.93
Collection Method	EU.75	0.00	0.00
Collection Method	EU.76	1.00	1.32
Collection Method	EU.77	2.25	1.56
Collection Method	EU.78	4.25	0.83
Collection Method	EU.79	3.00	1.22
Collection Method	EU.8	3.25	0.66
Collection Method	EU.80	1.88	1.54
Collection Method	EU.81	0.50	0.87
Collection Method	EU.82	2.00	1.22
Collection Method	EU.83	0.71	1.16
Collection Method	EU.84	1.12	1.54
Collection Method	EU.85	0.75	1.30
Collection Method	EU.86	1.38	1.49
Collection Method	EU.87	0.62	1.11
Collection Method	EU.88	1.50	1.58
Collection Method	EU.89	1.62	1.65
Collection Method	EU.9	3.50	0.50
Collection Method	EU.90	0.62	1.11
Collection Method	EU.91	2.12	2.15
Collection Method	EU.92	1.75	1.79
Collection Method	EU.93	1.38	1.41
Collection Method	EU.94	0.38	0.99
Collection Method	EU.95	1.62	1.73
Collection Method	EU.96	2.38	1.11
Collection Method	EU.97	0.00	0.00
Collection Method	EU.98	0.00	0.00
Collection Method	EU.99	2.12	1.69
Contact Info	AIDA.1	0.00	0.00
Contact Info	AIDA.10	2.12	0.33
Contact Info	AIDA.11	2.50	0.50
Contact Info	AIDA.12	3.50	0.50
Contact Info	AIDA.13	3.38	0.86
Contact Info	AIDA.14	3.38	0.86
Contact Info	AIDA.15	3.25	0.97
Contact Info	AIDA.16	3.12	1.05
Contact Info	AIDA.17	3.50	0.87
Contact Info	AIDA.18	3.38	0.99
